GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Purb_T,Prur_T,P_T,
5937678,08037,0.000932003,,0.000932003,1324497,,1234.435676,1324497
5937679,08037,0.001147572,,0.001147572,1324497,,1519.955015,1324497
5937680,08037,0.001005085,,0.001005085,1324497,,1331.232363,1324497
5937681,08037,0.00083592,,0.00083592,1324497,,1107.173721,1324497
5937682,08037,8.50454E-05,,8.50454E-05,1324497,,112.6424379,1324497
5940844,08037,0.000107661,,0.000107661,1324497,,142.5961243,1324497
5940845,08037,0.001885462,,0.001885462,1324497,,2497.288673,1324497
5940846,08037,0.002534908,,0.002534908,1324497,,3357.477399,1324497
5940847,08037,0.004807154,,0.004807154,1324497,,6367.061639,1324497
5940848,08037,0.004452639,,0.004452639,1324497,,5897.507363,1324497
5940849,08037,0.004838108,,0.004838108,1324497,,6408.059964,1324497
5940850,08037,0.002337342,,0.002337342,1324497,,3095.803028,1324497
5940851,08037,0.004504771,,0.004504771,1324497,,5966.556023,1324497
5940852,08037,0.004803946,,0.004803946,1324497,,6362.811433,1324497
5940853,08037,0.002192491,,0.002192491,1324497,,2903.948386,1324497
5940854,08037,0.002006141,,0.002006141,1324497,,2657.127513,1324497
5940855,08037,0.001774363,,0.001774363,1324497,,2350.138046,1324497
5940856,08037,0.000974999,,0.000974999,1324497,,1291.383184,1324497
5940857,08037,0.00108022,,0.00108022,1324497,,1430.747564,1324497
5940858,08037,0.000817836,,0.000817836,1324497,,1083.220755,1324497
5940859,08037,0.00012731,,0.00012731,1324497,,168.6217949,1324497
