GRIDCODE,CVE ENTCVE MUN,LONG_VIALIDADES TOTAL x SENTIDO x MUNICIPIO (m),LONG VIALIDAD x SENTIDO x CELDA
184906,15028,226113.7193,6644.030946
184905,15069,290840.8324,3474.393965
184906,15069,290840.8324,20261.29441
185963,15028,226113.7193,48220.9493
185964,15028,226113.7193,30129.3129
187023,15028,226113.7193,941.2176039
179609,15029,673672.4595,273931.0775
178549,15029,673672.4595,60901.72024
179610,15029,673672.4595,281302.3726
180669,15029,673672.4595,14347.98125
180669,15099,2025620.227,74827.5049
178551,15029,673672.4595,5428.440324
179609,15099,2025620.227,11066.24112
179608,15029,673672.4595,11482.25645
178550,15029,673672.4595,24571.00128
184904,15030,181624.3848,94765.8685
185963,15030,181624.3848,19866.22209
185964,15030,181624.3848,14393.0788
180667,15031,2429075.123,384715.8816
179608,15031,2429075.123,355339.6283
179607,15031,2429075.123,426825.3069
180668,15031,2429075.123,12637.06267
180668,15099,2025620.227,94353.82692
178548,15031,2429075.123,239392.2543
179606,15031,2429075.123,60110.86867
178549,15031,2429075.123,190664.5251
180666,15031,2429075.123,293750.5706
180667,15099,2025620.227,2051.662307
179609,15031,2429075.123,49717.78798
180665,15031,2429075.123,4626.620707
179606,15099,2025620.227,739.8644932
180666,15099,2025620.227,2473.26072
178550,15031,2429075.123,348280.8515
178551,15031,2429075.123,50635.69646
177491,15031,2429075.123,5054.944623
177492,15031,2429075.123,812.0435734
177491,15070,1201249.578,36843.9024
177492,15070,1201249.578,103.9964929
177492,15029,673672.4595,402.414858
177489,15031,2429075.123,6511.081881
174271,15032,190640.1749,27892.39357
175330,15032,190640.1749,64337.42774
176389,15032,190640.1749,5220.028783
174270,15032,190640.1749,2879.900736
175329,15032,190640.1749,13256.15001
176388,15032,190640.1749,310.631187
176389,15111,98758.6586,842.1219309
173215,15032,190640.1749,8078.631209
174273,15032,190640.1749,47367.31193
174274,15032,190640.1749,3435.350214
173214,15032,190640.1749,17862.34917
187017,15033,5835403.7,349610.9422
188075,15033,5835403.7,160531.5563
189134,15033,5835403.7,48222.50464
185959,15033,5835403.7,253861.882
184900,15033,5835403.7,414075.8988
188076,15033,5835403.7,217297.4552
184898,15033,5835403.7,363309.2833
189135,15081,2032355.053,49291.79831
189135,15033,5835403.7,36976.2668
182782,15033,5835403.7,366129.1567
181723,15033,5835403.7,1762.906536
181723,15099,2025620.227,482.9062439
185957,15033,5835403.7,71815.38393
182781,15033,5835403.7,266181.4676
189137,15033,5835403.7,39310.33052
189137,15081,2032355.053,184019.1392
188078,15033,5835403.7,361296.5622
184899,15033,5835403.7,351120.5084
187018,15033,5835403.7,407277.0806
183839,15033,5835403.7,213069.7971
183840,15033,5835403.7,388077.0774
182780,15033,5835403.7,114118.765
183841,15033,5835403.7,405019.6799
