GRIDCODE	CVEENTMUN	Fter
175356	15051	0.19002344
175357	15037	0.299051313
175357	15037	0.03233081
175371	9011	0.001245527
175371	9011	0.201806179
175371	15122	0.316872158
175380	15025	0.006488809
175380	15025	0.018778984
175380	15039	0.190226594
175380	15025	0.308186388
175381	15039	0.297954495
175381	15025	0.084454203
175389	21132	0.267820178
175390	21132	0.451599147
175398	29048	0.103212452
175398	29048	0.216527367
175398	29060	0.02387842
175398	29048	0.226557722
175398	29033	0.934971616
175398	29010	0.222052872
175398	29048	0.017427187
175398	29010	0.039086321
175399	29048	0.170395471
175399	29048	0.021844683
175399	29010	0.039452894
175399	29010	0.046679286
175400	29010	0.11574683
175400	29010	0.012042799
175400	29010	0.071257574
175403	29050	0.169953759
175403	29010	0.014691336
175412	21128	0.20448981
175413	21128	0.042199233
176389	15111	0.068027832
176389	15032	0.179298838
176389	15111	0.068487414
176389	15111	0.063713653
176392	15111	0.067470336
176393	15111	0.046692947
176396	15114	0.024977688
176397	15114	0.042071675
176399	15005	0.062294786
176400	15005	0.025106835
176401	15005	0.040639014
176402	15005	0.031448183
176402	15005	0.00083017
176403	15005	0.00876908
176404	15106	0.057742491
176405	15106	0.002749118
176407	15106	0.065660519
176407	15106	0.014010502
176408	15106	0.009577959
176408	15106	0.032717705
176408	15106	0.042816014
176409	15106	0.008432637
176411	15051	0.21851511
176412	15051	0.171085492
176412	15051	0.06275612
176413	15051	0.047044161
176415	15051	0.116899465
176415	15037	0.077588341
176415	15037	0.155647055
176439	15039	0.490154174
176439	15025	0.052216625
176447	21134	0.03047157
176447	21143	0.122127399
176447	21134	0.113558371
176448	21143	0.22809399
176448	21132	0.215558066
176448	21143	0.092378904
176448	21143	0.401362292
176450	29015	0.138745781
176451	29015	0.01493277
176457	29010	0.052577875
176457	29010	0.027075882
176457	29033	0.065028384
176457	29010	0.015477091
176457	29002	1
176458	29010	0.025582764
176459	29018	0.217418666
176459	29010	0.041134936
176459	29018	0.113557733
176460	29018	0.130422689
176460	29010	0.025225148
176460	29018	0.36735877
176460	29026	0.303402259
176460	29018	0.171242143
176460	29026	0.485889648
176461	29052	0.236794138
176461	29026	0.210708093
176461	29009	1
176472	29008	0.253997825
177448	15111	0.02437227
177448	15111	0.026709821
177449	15111	0.089092025
177449	15111	0.046630855
177449	15111	0.000181757
177450	15111	0.038192815
177450	15111	0.024307168
177450	15111	0.012411366
177451	15111	0.022056862
177452	15114	0.003148912
177452	15111	0.097479723
177456	15114	0.065742228
177458	15005	0.057419673
177461	15005	0.007047366
177461	15005	0.015670622
177462	15106	0.004068441
177462	15005	0.025672013
177462	15005	0.047318562
177463	15106	0.021516063
177465	15106	0.016225772
177466	15106	0.035128592
177466	15106	0.018566826
177466	15106	0.025692407
177466	15067	0.032256292
177466	15067	0.007710938
177466	15067	0.006982405
177467	15106	0.023258556
177467	15106	0.00980378
177467	15106	0.011421359
177467	15106	0.054604537
177467	15106	0.051813642
177467	15067	0.076031507
177467	15106	0.006407819
177467	15106	0.010647197
177468	15106	0.006457133
177468	15106	0.026182383
177468	15106	0.00556268
177469	15106	0.006313243
177469	15106	0.037271103
177469	15051	0.135877594
177470	15051	0.05017286
177506	21134	0.392043669
177507	21134	0.027842977
177507	21143	0.156037414
177507	29015	0.124201628
177509	29015	0.143891615
177512	29024	0.026301881
177512	29015	0.154888539
177520	29052	0.209009355
177521	29052	0.366534561
177521	29052	0.187661947
177530	29008	0.19758055
177531	29008	0.136074487
177531	29008	0.079806925
178509	15111	0.03666928
178509	15111	0.035268762
178511	15114	0.054902821
178515	15114	0.022904877
178515	15114	0.013632346
178517	15005	0.039707666
178519	15005	0.020014093
178520	15005	0.02028902
178521	15005	0.013735321
178522	15106	0.026620409
178523	15106	0.069442665
178523	15106	0.020886329
178524	15106	0.019437643
178524	15106	0.035930822
178525	15106	0.02233096
178525	15087	0.199145893
178525	15067	0.080123269
178525	15087	0.171216338
178525	15067	0.089327277
178525	15087	0.077227846
178526	15087	0.069372572
178526	15067	0.189120443
178527	15106	0.000330894
178527	15067	0.105925675
178527	15106	0.026469637
178533	15037	0.076839665
178533	15037	0.061872708
178534	15037	0.281098694
178564	21134	0.066892575
178565	21134	0.346779448
178567	29015	0.010830373
178571	29024	0.247341221
178571	29015	0.090617893
178571	29014	0.017637642
178571	29024	0.120515638
178572	29024	0.096599728
178572	29024	0.133458226
178572	29024	0.035833569
178585	29013	0.077814889
178588	29013	0.051443932
178588	29008	0.079286146
178589	29008	0.021908403
178589	29008	0.130948493
178589	29008	0.051421134
178589	29008	0.035475771
178589	29004	0.034032143
178590	29008	0.013500265
178590	29004	0.076934714
179568	15111	0.0332898
179573	15114	0.039300679
179573	15114	0.016034782
179573	15114	0.025235393
179574	15114	0.067569794
179575	15114	0.025007275
179575	15114	0.043587844
179575	15114	0.002364873
179576	15114	0.021584738
179576	15005	0.01337777
179576	15005	0.027488066
179576	15114	0.016922065
179576	15005	0.005949499
179576	15005	0.007573414
179577	15005	0.066707547
