GRIDCODE,LONG,LATITUDE,Huso,Pob,X_long(NALCC),Y_lat(NALCC),UTMz
120,96,IE 2016 Colima V4.0,,,,,
1352087,-103.4786842,18.68809125,6,0,2344321.774,744649.0616,13
1355146,-104.6089636,18.68179232,6,0,2225321.774,745649.0616,13
1355147,-104.5994675,18.68195667,6,0,2226321.774,745649.0616,13
1355148,-104.5899713,18.68212042,6,0,2227321.774,745649.0616,13
1355149,-104.580475,18.68228358,6,0,2228321.774,745649.0616,13
1355150,-104.5709788,18.68244613,6,0,2229321.774,745649.0616,13
1355151,-104.5614825,18.68260809,6,0,2230321.774,745649.0616,13
1355152,-104.5519863,18.68276944,6,0,2231321.774,745649.0616,13
1355153,-104.54249,18.6829302,6,0,2232321.774,745649.0616,13
1355154,-104.5329936,18.68309036,6,0,2233321.774,745649.0616,13
1355155,-104.5234973,18.68324992,6,0,2234321.774,745649.0616,13
1355156,-104.5140009,18.68340888,6,0,2235321.774,745649.0616,13
1355157,-104.5045045,18.68356724,6,0,2236321.774,745649.0616,13
1355158,-104.4950081,18.683725,6,0,2237321.774,745649.0616,13
1355159,-104.4855117,18.68388216,6,0,2238321.774,745649.0616,13
1355160,-104.4760152,18.68403872,6,0,2239321.774,745649.0616,13
1355161,-104.4665187,18.68419469,6,0,2240321.774,745649.0616,13
1355162,-104.4570222,18.68435005,6,0,2241321.774,745649.0616,13
1355163,-104.4475257,18.68450482,6,0,2242321.774,745649.0616,13
1355164,-104.4380291,18.68465898,6,0,2243321.774,745649.0616,13
1355165,-104.4285326,18.68481255,6,0,2244321.774,745649.0616,13
1355166,-104.419036,18.68496552,6,0,2245321.774,745649.0616,13
1355167,-104.4095394,18.68511788,6,0,2246321.774,745649.0616,13
1355168,-104.4000427,18.68526965,6,0,2247321.774,745649.0616,13
1355169,-104.3905461,18.68542082,6,0,2248321.774,745649.0616,13
1355170,-104.3810494,18.68557139,6,0,2249321.774,745649.0616,13
