GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Purb_T,Prur_T,P_tot
134246,27008,,0.000110698,7.25E-05,,13,13
134247,27008,,0.005773308,0.003781752,,678,678
134248,27008,,0.008029837,0.00525987,,943,943
134251,27008,,0.003695598,0.002420767,,434,434
134252,27008,,0.032638777,0.021379726,,3833,3833
134253,27008,,0.009349694,0.00612443,,1098,1098
134255,27008,,0.00062161,0.00040718,,73,73
134256,27008,,0.003559355,0.002331522,,418,418
134259,27002,,0.000694729,0.000245489,,61,61
134262,27002,,0.000170835,6.04E-05,,15,15
134263,27002,,0.000079723,2.82E-05,,7,7
134264,27002,0.006684093,,0.00432221,1074,,1074
134266,27002,0.010299975,0.011673728,0.010785403,1655,1025,2680
134267,27002,,0.012026787,0.004249771,,1056,1056
134268,27002,0.057007717,0.004703658,0.038525619,9160,413,9573
134269,27002,0.022902664,0.009190925,0.018057501,3680,807,4487
134270,27002,,0.017573231,0.006209655,,1543,1543
134272,27006,,0.001157019,0.000791058,,100,100
134273,27006,,0.000439667,0.000300602,,38,38
134274,27006,,0.003783452,0.002586759,,327,327
