GRIDCODE,CVENTMUN,Ft
67380,20056,0.708822542
67381,20056,0.291177458
67401,20466,0.233826236
67402,20466,0.086130533
67408,20386,0.138332524
67409,20386,0.164217508
67411,20386,0.054018451
67411,20158,0.104988216
67413,20158,0.112580031
67433,20028,0.169522604
67433,20080,0.040590204
67433,20563,0.188148015
67455,20125,0.008504211
67456,20125,0.132369882
67464,20122,0.135268666
67465,20122,0.163668013
67465,20125,0.021787065
67466,20122,0.202104336
67466,20125,0.009690099
67467,20122,0.023315033
67476,20052,0.071062492
67476,20052,0.05800247
67480,20418,0.04365484
67481,20418,0.001804866
67482,20418,0.042489328
67483,20418,0.001455956
67490,20124,0.172289407
67490,20515,0.013287609
67496,20043,0.031234145
67497,20043,0.081076437
67498,20043,0.017006034
67507,20130,0.200536513
67560,7108,0.058119634
67561,7108,0.040980121
67590,7106,0.064820424
67590,7083,0.025348245
67591,7083,0.757281716
67592,7083,0.199378888
67604,7041,0.010202871
67605,7041,0.118771278
67605,7041,0.00322653
67606,7041,0.011855555
67607,7041,0.001179061
67608,7041,0.008734312
67610,7041,0.104256193
67611,7041,0.076001496
67629,7115,0.003806436
68432,12023,0.022999948
68433,12023,0.061722007
68433,12046,0.023433334
68433,12023,0.013894692
68433,12023,0.045772775
68434,12023,0.094989723
68434,12046,0.006750063
68435,12046,0.035791146
68461,20466,0.071377138
68461,20466,0.233092005
68467,20386,0.158332038
68468,20386,0.05553045
68469,20386,0.277604807
68470,20386,0.151964222
68470,20158,0.104052705
68471,20158,0.051429811
68471,20158,0.308670196
68472,20516,0.016643832
68472,20158,0.31827904
68473,20516,0.177611173
68492,20080,0.400800203
68492,20080,0.344579441
68493,20080,0.111123072
68515,20125,0.009827488
68516,20125,0.157884778
68516,20125,0.009255848
68535,20052,0.023367413
68536,20052,0.080448412
68536,20418,0.009697026
68537,20418,0.005000653
68541,20418,0.028297688
68542,20418,0.033935909
68549,20124,0.014165955
68550,20124,0.019836665
68550,20124,0.226904447
68555,20043,0.033433655
68566,20130,0.091449916
68566,20130,0.115559862
68609,7108,0.053783413
68648,7106,0.071018676
68649,7106,0.02479933
68663,7041,0.029685513
68688,7115,0.165760612
69492,12046,0.014464359
69493,12046,0.089604785
69494,12046,0.073060097
